"Permen-permen apa yang besar?

Candy Borobudur"
,Ga ngerti
,Summon yoga mahendra
,100
,burung apa yang pertama kali ke bulan? burung(nya) neil amstrong
,Recehan 100 perak
,"Other aristocrats: You know nothing socrates.
Socrates: I know."
,Rp5 Rp25 Rp50 Rp100 Rp200 Rp500 Rp1.000"
,What do u mean?
,"Subscribe to PewDiePie
Unsibscribe from T-Series"
,Very cool
,"Okay this is epic"
,100
,200
,"Kalo orang bilang dia mau jalan ke lab tapi dia gagap nanti dia bisa tenggelam karena di kelalab"
,It’s free real estate
,"Banten kasihan ibukotanya diserang"
,Did you ever hear the tragedy of Darth Plagueis the Wise?
,Mantappu gan
,"kalo ga countable jadi countipis"
,"Piano-piano yamaha mahal kalo murah nanti jadi yamura"
,It’s treason then
,Stasiun gondangdia tapi aku maunya gendongdia
,24
,25
,I am the senate
,Yg kyk gini nih yg masuk neraka pake jalur undangan
,"Diobok obok airnya diobok obok
Orang kok hidup tapi pada golbok goblok"
,Everyday we stray further from God
,"Kalau agamamu mengajarkanmu untuk membenci agama lain suku lain atau ras lain tinggalkanlah dan mulailah menjadi pengikut tuan Orochimaru"
,Peace was never an option
,F
,"Dulu Israel yang dibully Arab sekarang Arab yang dibully Israel.
You know why? Because comeback is rael"
,Why do white people own so many pets? Because they’re not allowed to own people anymore
,"Don’t keep chatting with me chat with the Pope.
Chatbots are temporary but faith in the Holy Roman Catholic Church is eternal. Bye the pope"
,Deus Vult
,"Alhamdullilah sih sudah 2 tahun belajar filsafat sekarang jadi atheis.
Kadang bersyukur aja sama Bapa Putra dan Roh Kudus.
Semangat kuliah ya om swastiastu."
,"“Meme adalah candu bagi masyarakat.”
- Karl Marx dalam Das Meme (1867)"
,"“Mau saya suruh rodi lagi ya Inlander-inlander bodoh ini?”
- Herman Willem Daendels"
,"Beginilah akibatnya kalo Mugem Tsukuyomi gua dibatalin jadi banyak orang goblok berkeliaran.”
- Madara Uchiha"
,"“Dasar Inlander-inlander mau saya suruh tanam paksa Cültuur stelsel lagi ya kalian?”
- Johannes Van Den Bosch (1796)"
,"Dari ratusan desiliun sperma yang ada di bumi ini dari zaman nabi adam sampai sekarang kayanya lu yg paling goblok dah"
,"“Ada-ada saja kodomotachi zaman ima”
- Kaisar Hirohito"
,Ini kaga ada adegan ngewenya apa?
,You don’t need to study science if Allahu A’lam
,Gini nih kalo pas lahir kaga diadzanin
,"Hello sir do you have a moment to talk about our Lord and Savior Jesus Christ?"
,"Y’all motherfuckers need Allah"
